model,model_label,configuration_id,configuration_label,seed_count,answer_hit_rate_mean,answer_hit_rate_std,answer_precision_mean,answer_precision_std,answer_recall_mean,answer_recall_std,answer_f1_mean,answer_f1_std,answer_exact_match_mean,answer_exact_match_std,llm_exact_match_given_full_context_mean,llm_exact_match_given_full_context_std,llm_omission_given_full_context_mean,llm_omission_given_full_context_std,llm_retrieved_gold_utilization_mean,llm_retrieved_gold_utilization_std,full_context_complete_answer_mean,full_context_complete_answer_std,full_context_llm_omission_mean,full_context_llm_omission_std,partial_context_fully_utilized_mean,partial_context_fully_utilized_std,partial_context_underutilized_mean,partial_context_underutilized_std,context_gold_coverage_mean,context_gold_coverage_std,context_full_gold_coverage_mean,context_full_gold_coverage_std,prompt_tokens_mean,prompt_tokens_std,completion_tokens_mean,completion_tokens_std,total_tokens_mean,total_tokens_std,total_requests_mean,total_requests_std
deepseek-v4-flash,DeepSeek-V4-Flash,shortest_path,Најкратки патеки,3,0.8020236731576939,0.005290724116285212,0.8604225741570005,0.008803495565575447,0.49324351417458595,0.00747208996093835,0.6270321841674481,0.008358472148487422,0.5799923634975181,0.002645362058142606,0.692139825848684,0.0052416799382272285,0.2107935385153684,0.001854018179300831,0.8009361615602048,0.005777364829508531,0.6611302023673158,0.0041432864479210825,0.17659411989308896,0.002882716470130111,0.07063764795723558,0.00756216201616585,0.03379152348224513,0.003188868478138616,0.8880363730545624,0.006299633480161767,0.8377243222604047,0.006832963027175723,3390704.3333333335,771964.9440281166,33199.333333333336,121.54148811551278,3423903.6666666665,772062.4837682073,1746.0,0.0
deepseek-v4-flash,DeepSeek-V4-Flash,pcst_constant_0.01,"PCST, конст., $\lambda=0.01$",3,0.5983199694539901,0.011630007186344453,0.8813944765910585,0.006249700441660787,0.2590320381731425,0.005177281635617529,0.40038238501732265,0.0066928906039487885,0.32206949217258496,0.00231469180087481,0.3872727148122234,0.002510699366429038,0.5892807051214448,0.008366311249735749,0.4231750875112808,0.007038704540829367,0.3411607483772432,0.006711873169624621,0.489499809087438,0.008306342083927868,0.018136693394425352,0.0026453620581426158,0.08781977854142803,0.0028827164701301037,0.8814643612862026,0.003909708350857147,0.8306605574646811,0.00519689102283936,696131.3333333334,8220.980010517806,21091.666666666668,156.92142407374888,717223.0,8144.3096085549205,1746.0,0.0
deepseek-v4-flash,DeepSeek-V4-Flash,pcst_constant_1,"PCST, конст., $\lambda=1$",3,0.5937380679648722,0.014287863491460613,0.8838245825199694,0.006647871045947099,0.2567063635270059,0.006181963265983184,0.39784160239080163,0.008031805515697231,0.31958762886597936,0.0024965056950405004,0.39159337255083243,0.004399989199729963,0.5871290144907598,0.006762001065949771,0.41929800720134747,0.008527659017182146,0.3369606720122184,0.005562734740104426,0.47919053073692247,0.0068808023256739905,0.021000381825124093,0.002706652706902984,0.09545628102329133,0.0037264645467627155,0.8754692241400788,0.0034504618987343336,0.816151202749141,0.005463569309375385,667852.3333333334,6666.945727492713,20983.666666666668,180.33394947522592,688836.0,6708.444752697901,1746.0,0.0
deepseek-v4-flash,DeepSeek-V4-Flash,pcst_semantic_0.01,"PCST, сем., $\lambda=0.01$",3,0.6878579610538372,0.00694407540262434,0.8852831582762036,0.00826001720101286,0.34155339027226433,0.008283091597049038,0.4929118686704452,0.009813867123223666,0.40950744558991986,0.003483827336940549,0.4926433144375724,0.0015749619248311777,0.4770245447251879,0.0005623689501532711,0.5583443659931082,0.012178837016370802,0.4345169912180222,0.003452298839256407,0.3963344788087056,0.0022909507445590116,0.032836960672012215,0.0034522988392564177,0.07235586101565483,0.0017497425333928382,0.8813715587181248,0.0043428148583309085,0.8308514700267278,0.005736914548040018,667646.0,8598.025180237611,25100.666666666668,332.57981498180754,692746.6666666666,8652.149232030926,1746.0,0.0
deepseek-v4-flash,DeepSeek-V4-Flash,pcst_semantic_1,"PCST, сем., $\lambda=1$",3,0.6888125238640702,0.006016018043752835,0.8861022041671136,0.008268160907137969,0.34091182485264043,0.008124043789199101,0.4923723061036804,0.009719878808613195,0.4108438335242459,0.00433669976769782,0.4945879657203362,0.00236730125544246,0.4771330842243588,0.0026109598787524163,0.5571653679665753,0.012186344068956193,0.434135166093929,0.005154639175257741,0.39614356624665903,0.0006613405145356515,0.032836960672012215,0.003682188148527284,0.07254677357770141,0.001322681029071311,0.8811015538089447,0.004104968536148224,0.830278732340588,0.005736914548040018,660349.6666666666,5898.504075893593,25078.666666666668,318.25356766787917,685428.3333333334,5832.523496166418,1746.0,0.0
gpt-5.6-luna,GPT-5.6 Luna,shortest_path,Најкратки патеки,3,0.8043146239022527,0.014594513061180914,0.8460015992455804,0.006513109799331353,0.48089337984682623,0.006169466549191606,0.6132078380261702,0.006333640409737769,0.5714012982054218,0.005736914548039964,0.6812384584650927,0.011537556233056702,0.2367283267085759,0.010080809087477665,0.7814632694293766,0.011283939904366585,0.6393661702940053,0.0034522988392564594,0.1983581519663994,0.010007897993189118,0.06529209621993128,0.005249227600178513,0.03913707521954945,0.0011922485678500213,0.8880363730545624,0.006299633480161767,0.8377243222604047,0.006832963027175723,3032168.0,658050.5996380522,36971.333333333336,476.39199545472354,3069139.3333333335,657787.9076612258,1746.0,0.0
gpt-5.6-luna,GPT-5.6 Luna,pcst_constant_0.01,"PCST, конст., $\lambda=0.01$",3,0.6508209240168004,0.008578328346185908,0.8470239300127096,0.0011000443368799613,0.2610770279481936,0.004099403478610064,0.39911721405501227,0.004712294760020433,0.34077892325315,0.006061285936001332,0.40981398614958814,0.009112376698413699,0.568121429239929,0.01172431390416292,0.4257376613949792,0.005934934294374198,0.35872470408552887,0.008878973619116859,0.4719358533791523,0.011497628808639611,0.018327605956471937,0.0011454753722794954,0.08762886597938145,0.004993011390080953,0.8814643612862026,0.003909708350857147,0.8306605574646811,0.00519689102283936,667777.3333333334,7236.532065384174,28727.666666666668,156.02991166226215,696505.0,7389.580434639033,1746.0,0.0
gpt-5.6-luna,GPT-5.6 Luna,pcst_constant_1,"PCST, конст., $\lambda=1$",3,0.6450935471554028,0.014628188434127934,0.8490055792830602,0.006297168399012181,0.2597537992702193,0.004413859641728824,0.39779108621666265,0.005620570589314963,0.3314242077128675,0.008501505948152853,0.4058795826586283,0.012055596940512201,0.5728339256656163,0.013934970285164891,0.4237809787729367,0.0075066846754927846,0.34860633829705995,0.010409550118530415,0.467544864452081,0.013276318175420914,0.021573119511263842,0.0023146918008747886,0.09488354333715159,0.005196891022839331,0.8754692241400788,0.0034504618987343336,0.816151202749141,0.005463569309375385,641000.0,6199.128245164799,28604.0,139.98928530426892,669604.0,6067.023899738652,1746.0,0.0
gpt-5.6-luna,GPT-5.6 Luna,pcst_semantic_0.01,"PCST, сем., $\lambda=0.01$",3,0.722794959908362,0.004324074705195145,0.8501999279882434,0.007731871573442301,0.3308873651710173,0.004464386113225636,0.4763679675017997,0.005446984952664424,0.4138984345169912,0.0031543932115040848,0.4977093609903281,0.003280352701073987,0.47701474985527365,0.0018292000824671401,0.5400352965170119,0.0055460398780203275,0.4345169912180222,0.001841094074263635,0.3963344788087056,0.004130070189534941,0.030927835051546393,0.004473224327552492,0.07426498663612065,0.0036821881485272832,0.8813715587181248,0.0043428148583309085,0.8308514700267278,0.005736914548040018,639361.0,7632.315703638051,31602.0,263.02281269882275,670963.0,7643.113043780001,1746.0,0.0
gpt-5.6-luna,GPT-5.6 Luna,pcst_semantic_1,"PCST, сем., $\lambda=1$",3,0.7279495990836197,0.00572737686139746,0.8535603679905087,0.006642533378786544,0.33128834355828224,0.005638417728982534,0.47729217405339214,0.0057456214048647895,0.4142802596410844,0.004629383601749615,0.49826431234263274,0.00242581567809851,0.4743794925487898,0.004755419780173665,0.5408231169617054,0.00803309597019722,0.436426116838488,0.006605133215733568,0.3938526155021,0.00238449713570002,0.030355097365406643,0.0061951052843023866,0.07502863688430698,0.003755692167412372,0.8811015538089447,0.004104968536148224,0.830278732340588,0.005736914548040018,632827.6666666666,5524.867901889903,31553.0,372.21096168705185,664380.6666666666,5310.966610075169,1746.0,0.0
